Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-239917.17	124291.92	-59924.504	-531421.0	800.0	-0.0065809763	0.6676825	1.7860203	-1.7762764	8000	2.6077032e-09	1345955000.0	-0.0047455817	-1374208.0	3.6628225	0.0052600442	0.09175	1.0	7.5029685497283936
1	-224646.7	74347.586	-78456.25	-312327.62	800.0	-23.420626	2.247496	-5.3624144	-25.050465	16000	-2.8327108e-08	1111339000.0	0.006107202	-812288.0	3.6779044	0.011559468	0.23675	1.0	14.122289419174194
2	-220300.1	75739.85	-113593.49	-344625.97	800.0	-38.44638	0.10912279	-37.010143	-38.551083	24000	1.1831522e-08	1043220350.0	-0.02629612	-607616.0	3.6600513	0.008974323	0.145125	79.0	23.142810344696045
3	-230314.84	116981.086	-93645.55	-477201.56	800.0	-50.131023	0.032830164	-49.74284	-50.170547	32000	1.0244548e-08	1345571100.0	-0.032471094	-635008.0	3.681205	0.009748612	0.178875	79.0	31.838725566864014
4	-205780.66	91232.28	-44689.176	-346837.7	800.0	-61.70967	0.02383902	-61.32656	-61.735962	40000	-2.9802324e-11	976960960.0	-0.033216257	-494144.0	3.6480665	0.0125073735	0.186625	79.0	40.54016351699829
5	-227719.8	111204.22	-53791.418	-464031.72	800.0	-71.946785	0.015287473	-71.73493	-71.964325	48000	-8.501113e-09	1218387800.0	-0.0056405524	-585600.0	3.6439931	0.007474693	0.06275	2.0	47.4088020324707
6	-195337.2	91674.914	-61943.426	-344382.56	800.0	-82.905174	0.014742512	-82.69122	-82.92069	56000	1.4990569e-08	907168300.0	-0.032267027	-437504.0	3.629519	0.013609976	0.18825	79.0	56.23588013648987
7	-196928.47	81436.734	-89469.234	-327866.0	800.0	-92.52837	0.008985494	-92.33117	-92.53934	64000	-5.0321223e-08	950305540.0	-0.030715503	-441344.0	3.6355312	0.012155317	0.187	79.0	65.20363163948059
8	-183052.9	73294.766	-83892.69	-320268.53	800.0	-102.15958	0.005586066	-102.07324	-102.166504	72000	6.4611434e-08	709750000.0	-0.03542597	-382528.0	3.6454887	0.012287411	0.189625	79.0	74.08659672737122
9	-156781.75	71065.91	-15542.036	-256597.12	800.0	-111.24592	0.0062666535	-111.185684	-111.25255	80000	-4.634261e-08	632803600.0	-0.031679753	-294208.0	3.6178174	0.010817348	0.186375	79.0	82.74430179595947
10	-213961.33	70655.0	-81302.08	-303761.66	800.0	-119.34829	0.004089887	-119.2893	-119.35369	88000	-2.4139881e-09	1074708000.0	-0.035172854	-550400.0	3.6570837	0.012750507	0.173125	79.0	91.784663438797
11	-190278.94	138679.45	-51799.48	-523187.62	800.0	-130.19568	0.00335311	-130.13718	-130.19978	96000	2.926588e-08	1112541200.0	-0.031162275	-437632.0	3.6984906	0.0066977576	0.188625	79.0	100.77834916114807
12	-181668.86	67393.22	-92047.47	-292453.3	800.0	-140.09853	0.003074621	-140.0199	-140.10226	104000	-1.0728836e-09	787561100.0	-0.0064859493	-416320.0	3.6319575	0.0028483944	0.01725	2.0	107.84086751937866
13	-175629.12	93863.586	-25156.59	-323882.84	800.0	-149.72687	0.0022326	-149.69395	-149.72987	112000	2.4691223e-08	844974140.0	-0.01104534	-392960.0	3.6558018	0.014533668	0.127875	11.0	114.99764919281006
14	-160919.0	74598.81	-65121.14	-279237.3	800.0	-159.13382	0.0025471684	-159.1017	-159.13715	120000	4.336983e-08	608788300.0	-0.036193505	-322944.0	3.661078	0.01191095	0.1995	79.0	123.64590954780579
15	-204927.16	99427.016	-42434.426	-395326.28	800.0	-167.76118	0.0014644729	-167.74765	-167.76326	128000	-5.7667492e-08	1076402200.0	-0.03295804	-515456.0	3.6610737	0.010791179	0.19925	79.0	132.57876801490784
16	-191032.5	116493.69	-59699.688	-448411.94	800.0	-178.482	0.0029206343	-178.36163	-178.48491	136000	9.9390745e-09	968156400.0	-0.034086604	-460288.0	3.6734653	0.009496986	0.18425	79.0	141.52407097816467
17	-217355.55	79962.734	-113477.0	-392397.88	800.0	-188.77208	0.001434481	-188.75108	-188.77391	144000	4.6610833e-08	967831740.0	-0.037072245	-568896.0	3.6625855	0.008373854	0.192	79.0	150.58797311782837
18	-217395.0	59153.72	-99244.52	-319530.62	800.0	-200.05833	0.0013546908	-200.0416	-200.05994	152000	-3.243983e-08	1003766400.0	-0.03707469	-597440.0	3.5865846	0.013460997	0.20175	79.0	159.5114357471466
19	-216509.72	91562.12	-75838.82	-405824.12	800.0	-211.60887	0.0010233617	-211.59499	-211.61037	160000	5.708635e-08	969150800.0	-0.035788167	-558976.0	3.6278076	0.011680261	0.204625	79.0	168.2030792236328
20	-191881.22	90554.016	-26553.168	-387066.66	800.0	-222.75407	0.0007976087	-222.74718	-222.75537	168000	1.6033649e-08	949292300.0	-0.035620354	-459328.0	3.5941715	0.0125824325	0.19375	79.0	177.4864218235016
21	-201120.47	66813.04	-102073.81	-357099.6	800.0	-232.88979	0.0008912306	-232.88046	-232.89099	176000	2.014637e-08	925643260.0	-0.037196323	-494912.0	3.5848637	0.0096612	0.21225	79.0	186.40871572494507
22	-150715.22	42802.83	-67919.17	-205971.4	800.0	-243.32362	0.0008553134	-243.31247	-243.32478	184000	-3.544241e-08	458690430.0	-0.038790327	-276288.0	3.6086323	0.011752254	0.210875	79.0	195.37401294708252
