Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-110988.914	29711.932	-64179.66	-154980.03	800.0	-0.03755571	0.66465455	1.7686813	-1.9253234	8000	-1.2874604e-08	245304530.0	-0.0032838546	-620416.0	3.6628227	0.0075306785	0.117125	1.0	10.018906116485596
1	-112329.69	22357.986	-89785.766	-155548.05	800.0	-24.040384	0.7085911	-17.590847	-24.993183	16000	2.4721027e-08	252184260.0	0.011764611	-385120.0	3.67664	0.022775825	0.315625	1.0	18.33672523498535
2	-123864.734	36873.977	-46978.61	-178975.25	800.0	-38.93866	0.12044595	-37.49359	-39.041603	24000	-9.298325e-09	335055360.0	-0.027811559	-381952.0	3.6574562	0.011176601	0.15825	79.0	30.297982931137085
3	-89480.86	50818.926	-15404.218	-182540.1	800.0	-51.87411	0.15254731	-50.32113	-51.97693	32000	9.462237e-09	215790460.0	-0.030783838	-188624.0	3.6819265	0.0075153112	0.167875	79.0	42.07410430908203
4	-123479.33	69281.086	-21693.742	-258115.34	800.0	-61.1587	0.059442256	-60.06712	-61.198772	40000	-5.290657e-08	371329900.0	-0.032512072	-351552.0	3.6406846	0.010305965	0.17525	79.0	52.91916489601135
5	-109377.06	40165.613	-43880.336	-186285.4	800.0	-73.188934	0.031807795	-72.89217	-73.215996	48000	4.9598516e-08	270657200.0	-0.032137226	-264960.0	3.5905893	0.014572708	0.177625	79.0	64.22519159317017
6	-139363.78	70062.78	-50294.34	-294125.62	800.0	-83.77762	0.011973602	-83.67152	-83.79002	56000	8.945912e-08	457184100.0	-0.035345066	-379360.0	3.5650449	0.010256048	0.181375	79.0	76.49963355064392
7	-90377.55	31851.83	-46718.484	-142072.19	800.0	-96.0206	0.009244242	-95.93748	-96.03057	64000	9.194016e-09	171189920.0	-0.032047007	-181296.0	3.5961177	0.014764969	0.162125	60.0	87.39867877960205
8	-122204.95	73615.31	-38657.78	-318908.28	800.0	-104.788826	0.00687776	-104.701614	-104.79682	72000	7.778406e-09	363850800.0	-0.031713307	-315168.0	3.5911627	0.007392764	0.174375	79.0	102.70200324058533
9	-87341.61	25440.238	-48363.668	-125728.28	800.0	-115.89523	0.0051600486	-115.836044	-115.90102	80000	-2.5629998e-09	152254420.0	-0.036316875	-159680.0	3.558598	0.011414121	0.182125	79.0	115.43411564826965
10	-130901.44	56265.03	-54425.73	-249946.52	800.0	-124.16547	0.0024668847	-124.14645	-124.16902	88000	6.7979094e-08	387814100.0	-0.035383936	-352896.0	3.5508072	0.011231676	0.188375	79.0	125.89733862876892
